Id,idParadero,idRuta
1110,151,101
1111,151,254
1112,151,102
1113,151,255
1114,84,103
1115,84,104
1116,85,104
1117,85,103
1118,120,103
1119,120,104
1120,121,103
1121,121,104
1122,124,103
1123,124,104
1124,122,104
1125,123,104
1126,155,115
1127,155,116
1128,155,321
1129,155,322
1130,109,322
1131,110,321
1132,107,321
1133,108,322
1134,105,321
1135,106,322
1136,103,321
1137,104,322
1138,132,227
1139,129,227
1140,129,104
1141,129,103
1142,78,348
1143,78,347
1144,81,347
1145,81,348
1146,151,227
1147,151,228
1148,123,231
1150,122,231
1151,109,245
1152,110,246
1153,157,349
1154,157,350
1155,79,352
1157,79,351
1158,156,357
1159,156,358
1160,157,359
1161,157,360
1162,157,361
1163,157,362
1164,157,225
1165,157,226
1166,156,363
1167,156,364
1170,156,369
1171,156,370
1173,129,300
1174,129,299
