Id,Nombre,Lat,Lon
463,"189 Oxxo Pradera",21.09323679,-101.6515297
464,"190 Caja Popular San Nicolas",21.08940393,-101.6483366
465,"191 Presta facil San Pedro",21.08815975,-101.6483464
466,"192 Bara Malinalco",21.09719569,-101.6515361
467,"193 Oxxo San Isidro",21.10035573,-101.6465029
468,"194 Oxxo Gardenias",21.09922251,-101.639328
469,"195 Oxxo Centro Max",21.0964607,-101.6338637
470,"196 Oxxo Agua Azul",21.10274847,-101.6153779
471,"197 Bara Agua Azul",21.10243827,-101.6129369
472,"198 Presta fácil Las Flores",21.10125643,-101.6130429
473,"199 Oxxo Las Flores",21.10369641,-101.611649
474,"200 Bara Brisas del Carmen",21.10511328,-101.6055986
475,"201 Bara Paseos del Molino",21.09754858,-101.6038151
476,"202 Bara Constelaciones",21.09499091,-101.5910811
477,"203 Presta fácil Villas de San Juan",21.09991109,-101.5870769
478,"204 Caja San Nicolas Villas San Juan",21.09839118,-101.5883555
479,"205 Bara Villas De La Luz",21.09573098,-101.5812348
480,"206 Abarrotes Muñoz",21.09350534,-101.5803226
481,"207 Oxxo La Luz",21.10612577,-101.5812714
482,"208 Bara Villas de San Juan",21.10595543,-101.5806783
483,"209 Abarrotes Tavares",21.11313533,-101.5586252
484,"210 Oxxo Gamma",21.08839843,-101.6228154
485,"211 Caja Popular Mexicana",21.08918582,-101.632153
486,"212 Bara Jerez",21.08899023,-101.6290952
487,"213 Presta fácil Río Mayo",21.08337057,-101.642814
488,"214 Oxxo Río Mayo",21.08411706,-101.6431441
489,"215 Bara Río Mayo",21.08195812,-101.6408275
490,"217 Oxxo Crucifixión",21.07941662,-101.6446615
491,"216 Oxxo Santa Julia",21.07960946,-101.6393184
492,"218 Presta fácil Crucifixión",21.08113643,-101.6511845
493,"219 Bara Parques del Sur",21.07847803,-101.6521232
494,"220 Abarrotes Miriam",21.07276246,-101.6431786
495,"221 Bara Norias",21.07605429,-101.6416817
496,"222 Bara Valle de San José",21.07054516,-101.6320613
497,"223 Caja Popular Santa Margarita",21.07077761,-101.630106
498,"224 Presta fácil 10 de Mayo",21.072159,-101.6314132
499,"225 Bara Madre Tierra",21.07696178,-101.6299413
500,"226 Presta fácil Delta",21.08150681,-101.6298807
501,"227 Oxxo Delta",21.08258164,-101.6280198
502,"228 Oxxo Epsilon",21.07623743,-101.6178703
503,"229 Bara Express Atotonilco",21.07684361,-101.6174404
504,"230 Presta fácil Atotonilco",21.07637332,-101.6178611
505,"231 Bara Atotonilco",21.06767638,-101.6234745
506,"232 Oxxo Cd Industrial",21.07512658,-101.6821347
507,"234 Caja Popular San Nicolas Cementos",21.08864199,-101.6747507
508,"235 Caja Popular Alianza Peñitas",21.14516916,-101.6808151
509,"236 Bara Roble de Jerez",21.08640217,-101.6478181
510,"237 Bara Eyupol",21.1110944,-101.6320141
511,"238 Oxxo Alhondiga",21.13846631,-101.6621632
512,"239 Oxxo Hilario Medina",21.12370078,-101.6614889
513,"239 Oxxo Caruso",21.11024485,-101.6714056
514,"San Juan Bosco",21.132088,-101.716654
515,"Vista Hermosa",21.132569,-101.712106
516,Santander,21.13172,-101.707995
517,Cervantes,21.131083,-101.704969
518,"Espírtu Santo",21.132719,-101.69949
519,Industrial,21.133392,-101.695203
520,"Valverde y Téllez",21.131962,-101.691032
521,"Parque Hidalgo",21.132214,-101.687895
522,Calvario,21.13668,-101.687051
523,"IMSS T-1",21.139641,-101.686494
524,Insurgentes,21.143097,-101.685899
525,Lluvia,21.145857,-101.685374
526,"Peñitas",21.147321,-101.683355
527,"Los Gómez",21.147758,-101.677358
528,"San Jerónimo",21.149464,-101.6741
529,Florida,21.145197,-101.672934
530,Guanajuato,21.142268,-101.674326
531,Reyes,21.139635,-101.675344
532,"Michoacán",21.135943,-101.676869
533,"Hospital General",21.130839,-101.680407
534,Moctezuma,21.130703,-101.679357
535,Soledad,21.123743,-101.686208
536,Reforma,21.120708,-101.68703
537,"Centro de Salud",21.117765,-101.687453
538,"Justo Sierra",21.115486,-101.687693
539,"Monumento a la Mad",21.110928,-101.687238
540,"IMSS T-21",21.108136,-101.687324
541,"Los Fresnos",21.103558,-101.687492
542,"San Miguel Pte-Ote",21.102121,-101.685335
543,"San Miguel Ote-Pte",21.102023,-101.684892
544,"Tierra Blanca Pte-",21.101248,-101.681319
545,"Tierra Blanca Ote-",21.101178,-101.680876
546,"Preparatoria Pte-O",21.100994,-101.678197
547,"Preparatoria Ote-P",21.100999,-101.677762
548,"Sapal Pte-Ote",21.098357,-101.667764
549,"Sapal Ote-Pte",21.098257,-101.667336
550,"Buenos Aires Pte-O",21.100359,-101.67236
551,"Buenos Aires Ote-P",21.100218,-101.671945
552,"Francisco Villa Su",21.097711,-101.661823
553,"Francisco Villa Su",21.097709,-101.661363
554,"Centro Ciudadano P",21.097572,-101.658745
555,"Centro Ciudadano O",21.097572,-101.65829
556,"Azteca Ote-Pte",21.097258,-101.654595
557,"Azteca Pte-Ote",21.097189,-101.654142
558,"ISSSTE Pte-Ote",21.096718,-101.649396
559,"ISSSTE Ote-Pte",21.096739,-101.64895
560,"San Isidro Pte-Ote",21.097704,-101.645609
561,"San Isidro Ote-Pte",21.097841,-101.645191
562,"Paseo de Jerez Pte",21.097885,-101.642662
563,"Paseo de Jerez Ote",21.097836,-101.642233
564,"Bocanegra Sur-Nte",21.100812,-101.640515
565,"Bocanegra Nte-Sur",21.100456,-101.640692
566,Apolo,21.129145,-101.687498
567,"Aquiles Serdán",21.126425,-101.684377
568,"Centro Histórico",21.125576,-101.68218
569,"Hermanos Aldama",21.124679,-101.679871
570,"La Paz",21.123672,-101.677256
571,Expiatorio,21.122505,-101.674216
572,Trigo,21.12066,-101.669371
573,"Zona piel",21.119335,-101.665306
574,"Central camionera",21.118272,-101.661796
575,Poliforum,21.115984,-101.655685
576,Bugambilias,21.112676,-101.649426
577,Manzanares,21.109206,-101.644874
578,"San Pedro",21.106512,-101.64132
579,Deportiva,21.103899,-101.637881
580,"Julián de Obregón",21.101019,-101.634093
581,"Cerrito de Jerez",21.098499,-101.630889
582,"Los Limones",21.105305,-101.701567
583,Delta,21.094583,-101.617808
584,"Américas",21.10491,-101.696229
585,"Santa Rita",21.103954,-101.705819
586,Gaona,21.103947,-101.692467
587,"Venustiano Carranz",21.103005,-101.688743
588,"Villa Nueva",21.100896,-101.687581
589,"Parque Juarez",21.09493611,-101.6871583
590,"43 Sucursal Centro",21.12449224,-101.6788283
591,"66 Oficinas Generales Pagobus",21.12942015,-101.7209002
