Colonia,Lon,Lat,Id
"EL VALLADITO (37207)",-101.642602763207,21.1748896190607,131
"EL VIVERO (37207)",-101.648688101375,21.1804040469093,132
"ENTRE PRESITAS (37207)",-101.635683640188,21.1713550459986,133
"ESCONDIDA DE LA SELVA (37207)",-101.62852578134,21.1730546243714,134
"FRACCIONES DE IBARRILLA (37207)",-101.638458707903,21.1809593405012,135
"HACIENDA DE IBARRILLA (37207)",-101.643117313913,21.1781037555839,136
"HACIENDA DE IBARRILLA II (37207)",-101.641412997012,21.1775025830778,137
"IBARRILLA (37207)",-101.652720774744,21.1843903584283,138
"IBARRILLA PONIENTE (37207)",-101.650961692728,21.18839436231,139
"JOSE MARIA MORELOS (37207)",-101.637767316309,21.1743229841185,140
"LA SELVA II (37207)",-101.633341376603,21.1741601303858,141
"LAS PRESITAS DEL CONSUELO (37207)",-101.640095034258,21.1719949568019,142
"LAS PRESITAS I (37207)",-101.638875664181,21.1733376742943,143
"LAS PRESITAS II (37207)",-101.634777388865,21.1723466447819,144
"LAURELES DE LA SELVA (37207)",-101.631802529563,21.1730615419567,145
"LOMAS DE LA SELVA (37207)",-101.631060599667,21.1765134160614,146
"LOMAS DE LAS PRESITAS (37207)",-101.636590195481,21.1720626901411,147
"PALENQUE DE IBARRILLA (37207)",-101.642094969108,21.1808820437714,148
"RIVERA DEL CARMEN (37207)",-101.638984175479,21.1829200990833,149
"SAN PABLO (37207)",-101.645320988373,21.1713147806527,150
"SAN PABLO NORTE (37207)",-101.64113649955,21.1685928134077,151
"SAN PABLO SUR I (37207)",-101.648782341332,21.1649544630781,152
"SAN PABLO SUR II (37207)",-101.643147526637,21.1616128602453,153
"UNION COMUNITARIA LOS LAURELES (37207)",-101.632616272123,21.1713812189681,154
"VALLE DEL CONSUELO (37207)",-101.642151987924,21.1698672264914,155
"VILLA DE LA ROSA (37207)",-101.65538211869,21.1722986011995,156
"8 DE MARZO (37207)",-101.637899176706,21.169901219066,157
"ARBOLEDAS DE LA LUZ (37207)",-101.651392059696,21.1784291680717,158
"NUEVO LEON (37208)",-101.659048175333,21.1887683220005,159
"QUINTA SAN LORENZO (37208)",-101.66137947888,21.1749583092786,160
"SAN JAVIER (37208)",-101.663058720883,21.1907804273749,161
"TAJO DE SAN JAVIER (37208)",-101.663026954131,21.1895404871038,162
"VILLA MAGNA (37208)",-101.660544560883,21.1761873389746,163
"VILLA MAGNA 2DA SECC (37208)",-101.659000841316,21.1766042466887,164
"FRACCIONES DE ECHEVESTE (37208)",-101.661347645577,21.1785398584278,165
"LOMAS DE ECHEVESTE (37208)",-101.656289567909,21.178412332763,166
"CAÑON DE LA INDIA (37209)",-101.656032946363,21.1928770456392,167
"CANTARRANAS (37209)",-101.655677949777,21.1956817145395,168
"CASTILLOS VIEJOS (37209)",-101.668016254347,21.2002962222929,169
"EL CASTILLO (37209)",-101.661428482039,21.1936299004996,170
"EL CASTILLO PONIENTE (37209)",-101.663199663534,21.1946078934396,171
"EL CUARENTENO (37209)",-101.676746252238,21.2041234212589,172
"LA INDIA (37209)",-101.65869621306,21.1923418806733,173
"LA LOMITA (37209)",-101.657630166599,21.1951822859338,174
"LOMAS DE GUADALUPE (37209)",-101.652096935725,21.193601716646,175
"LOMAS DE LOS CASTILLOS (37209)",-101.678010913972,21.2059604852882,176
"LOS ARRAYANES (37209)",-101.673084874767,21.2050809006631,177
