Calle,Lon,Lat,Id
"ANDADOR MORGAN",-101.603422700197,21.1212755028622,167
"ANDADOR NAZARET",-101.654716060098,21.127802964835,168
"ANDADOR NEUQUÉN",-101.669548585799,21.0963859405588,169
"ANDADOR NUEZ",-101.710623847712,21.1052002867639,170
"ANDADOR OCA",-101.700822609776,21.101995550854,171
"ANDADOR OLÍMPICO",-101.634332280211,21.1096506115865,172
"ANDADOR ORGANIZACIONES COOPERATIVA DE AMÉRICA",-101.643596781166,21.1652958628139,173
"ANDADOR OSASUNA",-101.646014558125,21.1489217030742,174
"ANDADOR P. NEGRAS",-101.688352959222,21.0960964155172,175
"ANDADOR PARANÁ",-101.66966051542,21.0969617386933,176
"ANDADOR PASCAL KANT",-101.755814581777,21.1374104006695,177
"ANDADOR PASO DEL MACHO",-101.715217505583,21.1575151757848,178
"ANDADOR PASTORES",-101.710501570491,21.1499566356902,179
"ANDADOR PEÑITAS",-101.475190086453,21.0650935812039,180
"ANDADOR PINGÜICA",-101.70982725972,21.1038503836883,181
"ANDADOR PINGÜINO",-101.701264390939,21.0974421106649,182
"ANDADOR POLIMEROS",-101.636143674891,21.1115737020647,183
"ANDADOR PONY",-101.602899410779,21.1192112071316,184
"ANDADOR POSEIDÓN",-101.736839876759,21.1503957080955,185
"ANDADOR PRIMER FAJARDO",-101.678109972497,21.171624081786,186
"ANDADOR PRIMER HUIMILPAN",-101.679952436955,21.1718516921019,187
"ANDADOR PRIMER JEREZ DE AMBERES",-101.637077173872,21.0720306870666,188
"ANDADOR PRIMER JOSÉ DE LA LUZ FLORES",-101.732508047508,21.1217972373527,189
"ANDADOR PROFESOR BERNARDO COSOS",-101.669027703865,21.1663054858096,190
"ANDADOR RADIO CUCO",-101.628123423757,21.113676357478,191
"ANDADOR RECREACIÓN",-101.716762137962,21.1201321066115,192
"ANDADOR REENCARNACIÓN",-101.653084581089,21.1944955312438,193
"ANDADOR REFUGIO SIERRA",-101.730899829464,21.1090341272233,194
"ANDADOR RODRÍGUEZ",-101.639054987198,21.1157360181028,195
"ANDADOR ROMERAL",-101.587623396103,21.05645925589,196
"ANDADOR ROSENDO GUTIÉRREZ",-101.72954331817,21.1100785386936,197
"ANDADOR SANTA INQUISICIÓN",-101.604795348926,21.0963479639874,198
"ANDADOR SANTA ROSA DE LIMA",-101.649055480726,21.1492929531074,199
"ANDADOR SANTIAGO GARZA ZAMBRANO",-101.730704681076,21.1126905017653,200
"ANDADOR SARANDÍ",-101.670465947346,21.0952258609847,201
"ANDADOR SECUNDINO BRISEÑO",-101.728319733869,21.1072402531352,202
"ANDADOR SEGUNDO FAJARDO",-101.678573298719,21.1719402456459,203
"ANDADOR SEGUNDO HUIMILPAN",-101.679914608772,21.1721289378003,204
"ANDADOR SEGUNDO JEREZ DE AMBERES",-101.637090833675,21.0716924115756,205
"ANDADOR SEGUNDO JEREZ DE ARRIBA",-101.635602588788,21.0808845476838,206
"ANDADOR SEGUNDO JOSÉ DE LA LUZ FLORES",-101.732108396885,21.1217882000655,207
"ANDADOR SEIS",-101.596657069868,21.1164931159646,208
"ANDADOR SOLIDARIDAD",-101.630326169217,21.1121401166731,209
"ANDADOR SUPERACIÓN",-101.716555194067,21.1204640355868,210
"ANDADOR SUPERACIÓN PERSONAL",-101.717851922029,21.1205710171388,211
"ANDADOR TAJÍN",-101.688058074221,21.0961706482569,212
"ANDADOR TANDIL",-101.672972920864,21.0953460167054,213
